parameter_profile,case_id,time_s,ia,ib,ic,theta_e,id_ref,iq_ref,we,pi_reset,uq_zero_en,vdc,i_alpha,i_beta,id,iq,ud_raw,uq_raw,ud_lim,uq_lim,v_alpha,v_beta,sector,t1,t2,duty_a,duty_b,duty_c,du_d_z,du_q_z,sat_flag_z,kp,ki
real_commissioning,zero_reset1,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,zero_reset2,0.0001,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,zero,0.0002,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,d_current_reset1,0.0003,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,d_current_reset2,0.0004,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,d_current,0.0005,1,-0.5,-0.5,0,0,0,0,0,0,48,1,0,1,0,-2.18125,0,-2.18125,0,-2.18125,0,4,-0,6.81640625e-06,5340.8203125,4659.1796875,4659.1796875,0,0,0,2.18125,2962.5
real_commissioning,q_current_reset1,0.0006,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,q_current_reset2,0.0007,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,q_current,0.0008,0,0.866025403784439,-0.866025403784439,0,0,0,0,0,0,48,0,1,0,1,0,-2.18125,0,-2.18125,0,-2.18125,6,3.93533854166667e-06,3.93533854166667e-06,5000,5393.53385416667,4606.46614583333,0,0,0,2.18125,2962.5
real_commissioning,common_mode_reset1,0.0009,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,common_mode_reset2,0.001,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,common_mode,0.0011,1,1,1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_0.0000_reset1,0.0012,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_0.0000_reset2,0.0013,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_0.0000,0.0014,0.2,-0.3,0.1,0,0.4,-0.2,0,0,0,48,0.2,-0.23094010767585,0.2,-0.23094010767585,0.43625,0.0674881098679486,0.43625,0.0674881098679486,0.43625,0.0674881098679486,3,1.24152145177991e-06,2.4353365646307e-07,4925.74724458785,5049.89938976584,5074.25275541215,0,0,0,2.18125,2962.5
real_commissioning,angle_1.5708_reset1,0.0015,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_1.5708_reset2,0.0016,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_1.5708,0.0017,0.2,-0.3,0.1,1.5707963267949,0.4,-0.2,0,0,0,48,0.2,-0.23094010767585,-0.23094010767585,-0.2,1.37623810986795,0,1.37623810986795,0,1.68540559611439e-16,1.37623810986795,1,2.48296292322009e-06,2.48296292322009e-06,5000,4751.70370767799,5248.29629232201,0,0,0,2.18125,2962.5
real_commissioning,angle_3.1416_reset1,0.0018,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_3.1416_reset2,0.0019,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_3.1416,0.002,0.2,-0.3,0.1,3.14159265358979,0.4,-0.2,0,0,0,48,0.2,-0.23094010767585,-0.2,0.23094010767585,1.30875,-0.939988109867949,1.30875,-0.939988109867949,-1.30875,0.939988109867949,5,3.39198626062974e-06,2.39394853511324e-06,5289.29673978715,4710.70326021285,5049.90188627582,0,0,0,2.18125,2962.5
real_commissioning,angle_4.7124_reset1,0.0021,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_4.7124_reset2,0.0022,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_4.7124,0.0023,0.2,-0.3,0.1,4.71238898038469,0.4,-0.2,0,0,0,48,0.2,-0.23094010767585,0.23094010767585,0.2,0.368761890132052,-0.8725,0.368761890132052,-0.8725,-0.8725,-0.368761890132051,4,1.33069264562026e-06,2.06125458988676e-06,5169.59736177535,4963.47190278667,4830.40263822465,0,0,0,2.18125,2962.5
real_commissioning,angle_6.2832_reset1,0.0024,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_6.2832_reset2,0.0025,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,angle_6.2832,0.0026,0.2,-0.3,0.1,6.28318530717959,0.4,-0.2,0,0,0,48,0.2,-0.23094010767585,0.2,-0.23094010767585,0.43625,0.0674881098679486,0.43625,0.0674881098679486,0.43625,0.0674881098679486,3,1.24152145177991e-06,2.4353365646307e-07,4925.74724458785,5049.89938976584,5074.25275541215,0,0,0,2.18125,2962.5
real_commissioning,sector_15_reset1,0.0027,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_15_reset2,0.0028,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_15,0.0029,0,0,0,0,0.965925826289068,0.258819045102521,0,0,0,48,0,0,0,0,2.10692570859303,0.564549042129873,2.10692570859303,0.564549042129873,2.10692570859303,0.564549042129873,3,5.56560227584391e-06,2.0371987414024e-06,4619.85994913769,5176.42017672208,5380.14005086232,0,0,0,2.18125,2962.5
real_commissioning,sector_75_reset1,0.003,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_75_reset2,0.0031,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_75,0.0032,0,0,0,0,0.258819045102521,0.965925826289068,0,0,0,48,0,0,0,0,0.564549042129873,2.10692570859303,0.564549042129873,2.10692570859303,0.564549042129873,2.10692570859303,1,2.03702937593074e-06,5.56546088924245e-06,4823.57842433441,4619.87548674134,5380.12451325866,0,0,0,2.18125,2962.5
real_commissioning,sector_135_reset1,0.0033,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_135_reset2,0.0034,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_135,0.0035,0,0,0,0,-0.707106781186547,0.707106781186548,0,0,0,48,0,0,0,0,-1.54237666646316,1.54237666646316,-1.54237666646316,1.54237666646316,-1.54237666646316,1.54237666646316,5,5.56573046662674e-06,2.03722251362009e-06,5380.14764901234,4619.85235098766,5176.42539765033,0,0,0,2.18125,2962.5
real_commissioning,sector_195_reset1,0.0036,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_195_reset2,0.0037,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_195,0.0038,0,0,0,0,-0.965925826289068,-0.25881904510252,0,0,0,48,0,0,0,0,-2.10692570859303,-0.564549042129872,-2.10692570859303,-0.564549042129872,-2.10692570859303,-0.564549042129872,4,2.0371987414024e-06,5.56560227584391e-06,5380.14005086232,4823.57982327792,4619.85994913769,0,0,0,2.18125,2962.5
real_commissioning,sector_255_reset1,0.0039,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_255_reset2,0.004,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_255,0.0041,0,0,0,0,-0.258819045102521,-0.965925826289068,0,0,0,48,0,0,0,0,-0.564549042129873,-2.10692570859303,-0.564549042129873,-2.10692570859303,-0.564549042129873,-2.10692570859303,6,5.56546088924245e-06,2.03702937593074e-06,5176.42157566559,5380.12451325866,4619.87548674134,0,0,0,2.18125,2962.5
real_commissioning,sector_315_reset1,0.0042,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_315_reset2,0.0043,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,sector_315,0.0044,0,0,0,0,0.707106781186547,-0.707106781186548,0,0,0,48,0,0,0,0,1.54237666646316,-1.54237666646316,1.54237666646316,-1.54237666646316,1.54237666646316,-1.54237666646316,2,2.03722251362008e-06,5.56573046662674e-06,4619.85235098766,5380.14764901234,4823.57460234967,0,0,0,2.18125,2962.5
real_commissioning,edge_1_0_reset1,0.0045,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,edge_1_0_reset2,0.0046,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,edge_1_0,0.0047,0,0,0,0,1,0,0,0,0,48,0,0,0,0,2.18125,0,2.18125,0,2.18125,0,2,6.81640625e-06,-0,4659.1796875,5340.8203125,5340.8203125,0,0,0,2.18125,2962.5
real_commissioning,edge_1_1.732_reset1,0.0048,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,edge_1_1.732_reset2,0.0049,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,edge_1_1.732,0.005,0,0,0,0,1,1.732,0,0,0,48,0,0,0,0,2.18125,3.777925,2.18125,3.777925,2.18125,3.777925,3,3.99895833333441e-10,1.36327997760417e-05,4318.34001640625,4318.38000598958,5681.65998359375,0,0,0,2.18125,2962.5
real_commissioning,edge_-1_1.732_reset1,0.0051,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,edge_-1_1.732_reset2,0.0052,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,edge_-1_1.732,0.0053,0,0,0,0,-1,1.732,0,0,0,48,0,0,0,0,-2.18125,3.777925,-2.18125,3.777925,-2.18125,3.777925,1,1.36324126041667e-05,-3.99895833333441e-10,5681.640625,4318.39936458333,5681.60063541667,0,0,0,2.18125,2962.5
real_commissioning,edge_-1_0_reset1,0.0054,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,edge_-1_0_reset2,0.0055,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,edge_-1_0,0.0056,0,0,0,0,-1,0,0,0,0,48,0,0,0,0,-2.18125,0,-2.18125,0,-2.18125,0,4,-0,6.81640625e-06,5340.8203125,4659.1796875,4659.1796875,0,0,0,2.18125,2962.5
real_commissioning,edge_-1_-1.732_reset1,0.0057,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,edge_-1_-1.732_reset2,0.0058,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
real_commissioning,edge_-1_-1.732,0.0059,0,0,0,0,-1,-1.732,0,0,0,48,0,0,0,0,-2.18125,-3.777925,-2.18125,-3.777925,-2.18125,-3.777925,6,1.36324126041667e-05,-3.99895833333441e-10,5681.640625,5681.60063541667,4318.39936458333,0,0,0,2.18125,2962.5
real_commissioning,edge_1_-1.732_reset1,0.006,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,-0,5000,5000,5000,0,0,0,2.18125,2962.5
