row_index,parameter_profile,case_id,ia_raw,ib_raw,ic_raw,theta_u16,i_alpha_raw,i_beta_raw,sin_raw,cos_raw,id_raw,iq_raw,ud_lim_raw,uq_lim_raw,v_alpha_raw,v_beta_raw,ia_A,ib_A,ic_A,theta_rad,i_alpha_A,i_beta_A,id_A,iq_A,v_alpha_V,v_beta_V,step6a_i_alpha,step6a_i_beta,step6a_id,step6a_iq,step6a_v_alpha,step6a_v_beta
0,real_commissioning,zero_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,real_commissioning,zero_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,real_commissioning,zero,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,real_commissioning,d_current_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,real_commissioning,d_current_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,real_commissioning,d_current,32768,-16384,-16384,0,32768,0,0,65536,32768,0,-71475,0,-71475,0,1,-0.5,-0.5,0,1,0,1,0,-2.18124389648,0,1,0,1,0,-2.18125,0
6,real_commissioning,q_current_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,real_commissioning,q_current_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,real_commissioning,q_current,0,28378,-28378,0,0,32768,0,65536,0,32768,0,-71475,0,-71475,0,0.866027832031,-0.866027832031,0,0,1,0,1,0,-2.18124389648,0,1,0,1,0,-2.18125
9,real_commissioning,common_mode_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,real_commissioning,common_mode_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,real_commissioning,common_mode,32768,32768,32768,0,0,0,0,65536,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,real_commissioning,angle_0.0000_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,real_commissioning,angle_0.0000_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,real_commissioning,angle_0.0000,6554,-9830,3277,0,6554,-7567,0,65536,6554,-7567,14295,2211,14295,2211,0.200012207031,-0.299987792969,0.100006103516,0,0.200012207031,-0.230926513672,0.200012207031,-0.230926513672,0.436248779297,0.0674743652344,0.2,-0.23094010767585,0.2,-0.23094010767585,0.43625,0.0674881098679486
15,real_commissioning,angle_1.5708_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,real_commissioning,angle_1.5708_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,real_commissioning,angle_1.5708,6554,-9830,3277,16384,6554,-7567,65536,0,-7567,-6554,45097,0,0,45097,0.200012207031,-0.299987792969,0.100006103516,1.57079632679,0.200012207031,-0.230926513672,-0.230926513672,-0.200012207031,0,1.3762512207,0.2,-0.23094010767585,-0.23094010767585,-0.2,1.68540559611439e-16,1.37623810986795
18,real_commissioning,angle_3.1416_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,real_commissioning,angle_3.1416_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,real_commissioning,angle_3.1416,6554,-9830,3277,32768,6554,-7567,0,-65536,-6554,7567,42885,-30802,-42885,30802,0.200012207031,-0.299987792969,0.100006103516,3.14159265359,0.200012207031,-0.230926513672,-0.200012207031,0.230926513672,-1.30874633789,0.940002441406,0.2,-0.23094010767585,-0.2,0.23094010767585,-1.30875,0.939988109867949
21,real_commissioning,angle_4.7124_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,real_commissioning,angle_4.7124_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,real_commissioning,angle_4.7124,6554,-9830,3277,49152,6554,-7567,-65536,0,7567,6554,12084,-28590,-28590,-12084,0.200012207031,-0.299987792969,0.100006103516,4.71238898038,0.200012207031,-0.230926513672,0.230926513672,0.200012207031,-0.872497558594,-0.368774414062,0.2,-0.23094010767585,0.23094010767585,0.2,-0.8725,-0.368761890132051
24,real_commissioning,angle_6.2832_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,real_commissioning,angle_6.2832_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
