row_index,parameter_profile,case_id,v_alpha_raw,v_beta_raw,vdc_raw,source_sector,oracle_sector,sector_match,sector_exception,source_t1_norm,oracle_t1_norm,t1_error,source_t2_norm,oracle_t2_norm,t2_error,source_duty_u_norm,oracle_duty_u_norm,duty_u_error,source_duty_v_norm,oracle_duty_v_norm,duty_v_error,source_duty_w_norm,oracle_duty_w_norm,duty_w_error
0,real_commissioning,zero_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,real_commissioning,zero_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
2,real_commissioning,zero,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
3,real_commissioning,d_current_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
4,real_commissioning,d_current_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
5,real_commissioning,d_current,-71475,0,1572864,4,4,1,0,-0E+4,0,0,0.0681640625,0.06816387176513671875,1.9073486328125E-7,0.53408203125,0.534081935882568359375,9.5367431640625E-8,0.46591796875,0.465918064117431640625,9.5367431640625E-8,0.46591796875,0.465918064117431640625,9.5367431640625E-8
6,real_commissioning,q_current_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
7,real_commissioning,q_current_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
8,real_commissioning,q_current,0,-71475,1572864,6,6,1,0,0.0393533854166667,0.0393532752059400081634521484375,1.102107266918365478515625E-7,0.0393533854166667,0.0393532752059400081634521484375,1.102107266918365478515625E-7,0.5,0.5,0.0,0.539353385416667,0.53935325145721435546875,1.3395945264453125E-7,0.460646614583333,0.46064674854278564453125,1.3395945264453125E-7
9,real_commissioning,common_mode_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
10,real_commissioning,common_mode_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
11,real_commissioning,common_mode,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
12,real_commissioning,angle_0.0000_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
13,real_commissioning,angle_0.0000_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
14,real_commissioning,angle_0.0000,14295,2211,1572864,3,3,1,0,0.0124152145177991,0.0124154244549572467803955078125,2.099371581467803955078125E-7,0.0024353365646307,0.00243484065867960453033447265625,4.9590595109546966552734375E-7,0.492574724458785,0.492574870586395263671875,1.46127610263671875E-7,0.504989938976584,0.504990279674530029296875,3.40697946029296875E-7,0.507425275541215,0.507425129413604736328125,1.46127610263671875E-7
15,real_commissioning,angle_1.5708_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
16,real_commissioning,angle_1.5708_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
17,real_commissioning,angle_1.5708,0,45097,1572864,1,1,1,0,0.0248296292322009,0.02482986566610634326934814453125,2.3643390544326934814453125E-7,0.0248296292322009,0.02482986566610634326934814453125,2.3643390544326934814453125E-7,0.5,0.5,0.0,0.475170370767799,0.475170135498046875,2.35269752125E-7,0.524829629232201,0.524829864501953125,2.35269752125E-7
