SID,type,old_block_name,formal_block_name,old_tag,formal_tag
1612,ToWorkspace,Log,FPGA_Interface_Log,,
1458,Inport,ia,ia_A,,
1461,Inport,ib,ib_A,,
1464,Inport,ic,ic_A,,
1467,Inport,theta,theta_e_rad,,
1470,Inport,we,omega_e_radps,,
1473,Inport,id_cmd,outer_id_ref_A,,
1476,Inport,iq_cmd,outer_iq_ref_A,,
1479,Inport,vdc,vdc_V,,
1838,From,Read_1453_12_1598_12,Read_range_flags_1838,range_flags,range_flags
1856,From,Read_1453_13_1752_1,Read_id_ref_1856,id_ref,id_ref
1858,From,Read_1453_14_1754_1,Read_iq_ref_1858,iq_ref,iq_ref
1806,From,Read_1455_1_1738_1,Read_PWM_EN_1806,PWM_EN,PWM_EN
1835,From,Read_1567_10_1598_10,Read_raw_duty_v_1835,raw_duty_v,raw_duty_v
1818,From,Read_1567_10_1736_1,Read_raw_duty_v_1818,raw_duty_v,raw_duty_v
1836,From,Read_1567_11_1598_11,Read_raw_duty_w_1836,raw_duty_w,raw_duty_w
1820,From,Read_1567_11_1737_1,Read_raw_duty_w_1820,raw_duty_w,raw_duty_w
1822,From,Read_1567_1_1598_1,Read_cmp_u_active_1822,cmp_u_active,cmp_u_active
1847,From,Read_1567_1_1727_1,Read_cmp_u_active_1847,cmp_u_active,cmp_u_active
1824,From,Read_1567_2_1598_2,Read_cmp_v_active_1824,cmp_v_active,cmp_v_active
1848,From,Read_1567_2_1728_1,Read_cmp_v_active_1848,cmp_v_active,cmp_v_active
1826,From,Read_1567_3_1598_3,Read_cmp_w_active_1826,cmp_w_active,cmp_w_active
1849,From,Read_1567_3_1729_1,Read_cmp_w_active_1849,cmp_w_active,cmp_w_active
1828,From,Read_1567_4_1598_4,Read_accepted_sample_id_1828,accepted_sample_id,accepted_sample_id
1850,From,Read_1567_4_1730_1,Read_accepted_sample_id_1850,accepted_sample_id,accepted_sample_id
1830,From,Read_1567_5_1598_5,Read_active_command_id_1830,active_command_id,active_command_id
1851,From,Read_1567_5_1731_1,Read_active_command_id_1851,active_command_id,active_command_id
1831,From,Read_1567_6_1598_6,Read_active_valid_1831,active_valid,active_valid
1852,From,Read_1567_6_1732_1,Read_active_valid_1852,active_valid,active_valid
1808,From,Read_1567_6_1738_2,Read_active_valid_1808,active_valid,active_valid
1832,From,Read_1567_7_1598_7,Read_needs_reset_1832,needs_reset,needs_reset
1854,From,Read_1567_7_1734_1,Read_needs_reset_1854,needs_reset,needs_reset
1810,From,Read_1567_7_1738_3,Read_needs_reset_1810,needs_reset,needs_reset
1833,From,Read_1567_8_1598_8,Read_fault_code_1833,fault_code,fault_code
1853,From,Read_1567_8_1733_1,Read_fault_code_1853,fault_code,fault_code
1812,From,Read_1567_8_1738_4,Read_fault_code_1812,fault_code,fault_code
1834,From,Read_1567_9_1598_9,Read_raw_duty_u_1834,raw_duty_u,raw_duty_u
1816,From,Read_1567_9_1735_1,Read_raw_duty_u_1816,raw_duty_u,raw_duty_u
1840,From,Read_1735_1_1723_1,Read_fpga_duty_u_1840,fpga_duty_u,fpga_duty_u
1842,From,Read_1736_1_1724_1,Read_fpga_duty_v_1842,fpga_duty_v,fpga_duty_v
