# ia_raw ib_raw ic_raw i_alpha_raw i_beta_raw
0 0 0 0 0
32768 32768 32768 0 0
32768 -16384 -16384 32768 0
8388607 -8388608 8388607 5592448 -9686271
-8388608 8388607 -8388608 -5592447 9686271
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
32768 -16384 -16384 32768 0
0 0 0 0 0
0 0 0 0 0
0 28378 -28378 0 32768
0 0 0 0 0
0 0 0 0 0
32768 32768 32768 0 0
0 0 0 0 0
0 0 0 0 0
6554 -9830 3277 6554 -7567
0 0 0 0 0
0 0 0 0 0
6554 -9830 3277 6554 -7567
0 0 0 0 0
0 0 0 0 0
6554 -9830 3277 6554 -7567
0 0 0 0 0
0 0 0 0 0
6554 -9830 3277 6554 -7567
0 0 0 0 0
0 0 0 0 0
6554 -9830 3277 6554 -7567
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
6554 -3277 -3277 6554 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
3277 -1638 -1638 3277 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
32768 -16384 -16384 32768 0
0 0 0 0 0
0 0 0 0 0
0 28378 -28378 0 32768
0 0 0 0 0
0 0 0 0 0
32768 32768 32768 0 0
0 0 0 0 0
0 0 0 0 0
6554 -9830 3277 6554 -7567
0 0 0 0 0
0 0 0 0 0
6554 -9830 3277 6554 -7567
0 0 0 0 0
0 0 0 0 0
6554 -9830 3277 6554 -7567
0 0 0 0 0
0 0 0 0 0
6554 -9830 3277 6554 -7567
0 0 0 0 0
0 0 0 0 0
6554 -9830 3277 6554 -7567
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
6554 -3277 -3277 6554 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
3277 -1638 -1638 3277 0
0 0 0 0 0
0 0 0 0 0
