# d_raw q_raw theta_u16 sin_raw cos_raw alpha_raw beta_raw
0 0 0 0 65536 0 0
32768 0 0 0 65536 32768 0
32768 0 16384 65536 0 0 32768
16777215 0 8192 46341 46341 11863295 11863295
-16777216 0 8192 46341 46341 -11863296 -11863296
-16777216 2328311 59994 -33217 56494 -13282357 10510626
-6091457 12557213 23923 49162 -43337 -5391727 -12873232
-5876711 -5574551 37515 -28790 -58873 2830327 7589433
-2820225 -6316075 65500 -226 65536 -2842006 -6306349
-12914244 -16777216 48547 -65425 -3818 -15996441 13869779
-2098180 11881803 53817 -59093 28338 9806414 7029637
3991319 5863626 52695 -61798 21818 6857955 -1811568
-16777216 7742159 12785 61671 22173 -12961851 -13168347
-5616111 7200609 46019 -62596 -19409 8540839 3231651
-15578910 -5898282 60095 -32674 56810 -16445287 2654173
5971187 16777215 58950 -38696 52892 14725329 10014639
12252739 -2148753 819 5122 65336 12383284 -1184576
9774161 -143006 14653 64635 10833 1756694 9616146
409480 -5737407 59964 -33368 56405 -2568803 -5146514
14672335 823234 13886 63663 15558 2683451 14448437
5951684 13238424 48170 -65245 -6173 12619037 -7172217
-6435411 11085953 58759 -39663 52171 1586309 12719924
5121345 2376866 15948 65479 2739 -2160758 5216229
-1428004 16777215 6276 37097 54026 -10674037 13022326
-5475998 6317084 55198 -54838 35886 2287362 8041193
-2041235 -7664134 60979 -27747 59372 -5094130 -6079053
13639329 4759309 58336 -41731 50532 13547261 -5015342
14577098 619977 15525 65313 5397 582581 14578553
11520931 2965688 12999 62109 20915 866155 11864942
5726590 -16777216 36787 -24614 -60738 -11608521 13398136
13038830 -8419685 37934 -31137 -57667 -15473540 1213805
-11962749 -9644588 61608 -24101 60943 -14671174 -4569335
-2174615 -33969 24900 44879 -47758 1607967 -1464420
-11480887 -42976 61900 -22386 61594 -10804990 3881288
1509048 1889028 56823 -48610 43955 2413267 147665
-15908960 5561769 50711 -64808 9740 3135587 16558830
-2862506 16530289 15502 65301 5548 -16713342 -1452857
-6260884 418431 24555 46447 -46234 4120344 -4732437
-1204436 -1994511 23858 49427 -43034 2295142 401308
-8439740 -6705650 59282 -36993 54097 -10751751 -771244
-8321170 -9733849 50983 -64532 11427 -11035626 6496476
10445108 12042883 5268 31710 57353 3313880 15593107
6798209 3485908 53598 -59677 27085 5983857 -4749770
-13275095 10197277 13871 63639 15656 -13073416 -10454791
-9136210 5653536 30807 12267 -64378 7916550 -7263752
-6051649 -14713251 65369 -1056 65527 -6287897 -14613719
-5528694 -16777216 61450 -25033 60567 -11517951 -13393339
9804238 692068 14773 64755 10088 825352 9793930
12105952 -547641 39591 -39863 -52019 -9942171 -6928891
10524031 -5804603 49805 -65408 4094 -5135835 -10866087
13439909 -3218934 45782 -62141 -20820 -7321879 -11721057
-8396419 5786797 54921 -55768 34422 514169 10184397
-4022920 -14593756 31782 6199 -65242 5385285 14147762
5822723 12217731 59998 -33195 56507 11208987 7585175
9475808 6467038 4109 25149 60518 6268576 9608144
