# alpha beta sine cosine d q back_alpha back_beta
203300 172314 65535 402 173558 -202240 203302 172315
82038 65247 65292 -5648 57934 -87356 82038 65247
243264 74459 51088 41049 210414 -142996 243266 74460
239641 26325 -44345 -48254 -194260 142770 239639 26325
-210558 -180685 -21010 62077 -141519 -238651 -210558 -180686
57065 -18233 39241 -52489 -56622 -19566 57065 -18233
42954 119724 40813 -51276 40951 -120423 42954 119723
21369 225397 12588 -64316 22323 -225306 21369 225400
-131203 147511 62036 -21129 181933 76638 -131201 147508
-55823 42673 -41731 -50532 15870 -68449 -55823 42673
2238 -17827 62004 21224 -16141 -7891 2238 -17827
-145810 -41627 -11551 -64510 150864 15276 -145810 -41627
136947 11426 43129 -49344 -95592 -98727 136946 11426
229623 19885 39362 -52398 -171647 -153814 229620 19885
-153999 -236418 63391 -16630 -189602 208951 -154000 -236418
245358 -70142 65398 -4244 -85883 -240299 245355 -70141
180144 -9698 -61464 22740 71603 165586 180143 -9698
84810 247633 -25427 60402 -17912 261139 84809 247631
-27581 -76226 -65534 478 76023 -28136 -27581 -76226
-124837 -244928 63860 -14727 -210611 176684 -124838 -244929
-2024 259502 -62189 -20677 -245610 -83795 -2024 259504
191671 -44607 -28043 59233 192324 41700 191671 -44606
-181809 -3968 21486 61914 -173062 55857 -181810 -3969
-253463 -24939 64867 9343 -60819 247320 -253466 -24940
-149623 10399 11229 -64567 149192 15391 -149623 10399
-108433 -161892 -18543 -62858 149808 124596 -108433 -161892
-47617 -204386 -65512 1784 203015 -53163 -47617 -204388
-139236 -83375 -22386 61594 -102381 -125921 -139235 -83375
231672 125441 -57109 -32149 -222959 140347 231674 125442
33421 -133899 -34251 55873 98473 -96689 33421 -133897
-110709 -24184 29802 -58368 87603 71883 -110710 -24184
169914 63722 25890 60205 181266 -8586 169913 63722
-131528 -127820 -62453 19864 81941 -164083 -131528 -127820
-124373 -149798 12095 -64410 94590 170178 -124372 -149797
56763 -131116 -38777 -52833 31820 139288 56763 -131117
125075 184197 -64141 13450 -154607 160216 125076 184197
159507 -95224 47308 45353 41645 -181040 159506 -95223
41704 -241682 10684 64659 1746 -245247 41704 -241680
137094 -150833 11749 64474 107832 -172966 137093 -150831
181030 -181298 65223 -6399 -198108 -162463 181031 -181299
-100763 220780 43506 49012 71208 232005 -100762 220779
-211053 210410 55166 35380 63178 291248 -211056 210413
-244673 -167106 64363 -12341 -118041 271761 -244669 -167103
184917 29333 -25682 60294 158631 99451 184915 29333
102176 93929 -61988 -21272 -122009 66156 102177 93930
171630 -217604 15020 63792 117191 -251149 171632 -217607
163995 -103669 -46607 -46074 -41568 189511 163998 -103671
30652 -111519 43600 -48929 -97076 62868 30652 -111520
-198810 -148318 -56354 33455 26049 -246669 -198812 -148320
-45520 19866 53711 37551 -9801 48689 -45520 19865
-132366 -189285 -18060 62998 -75078 -218431 -132364 -189282
-73836 146026 -8895 -64930 53334 -154697 -73837 146028
-101675 230143 -59510 -27451 -166393 -188726 -101676 230145
207563 -91685 -7348 65123 216535 -67835 207565 -91686
21284 -5483 -30805 -57845 -16209 14844 21284 -5483
-160201 56871 53797 -37427 138173 99027 -160198 56870
199386 -74327 26810 -59801 -212344 -13744 199384 -74326
-55902 134074 28971 58785 9126 144975 -55902 134075
-216168 -122816 -63686 15460 68355 -239038 -216165 -122815
-187748 -245122 49228 43261 -308060 -20779 -187745 -245119
181950 69101 64755 10088 96285 -169145 181950 69101
-37161 -204225 -50867 -41323 181945 99929 -37162 -204229
-181922 -228106 -60990 23984 145706 -252782 -181924 -228109
157756 -16731 62141 20820 34253 -154899 157756 -16731
-208105 161850 38269 53202 -74429 252910 -208105 161850
-235983 -244488 38838 -52788 45191 336779 -235983 -244488
-189612 12788 64528 11452 -20542 188930 -189614 12788
193808 109191 60499 -25196 26287 -220892 193808 109191
74736 -29622 64105 -13622 -44509 -66947 74737 -29622
177594 -253839 -32848 -56710 -26447 308667 177596 -253842
-2401 223929 628 65533 -255 223942 -2401 223929
48199 -254339 24451 60804 -50173 -253957 48199 -254339
222980 41062 9566 -64834 -214598 -73170 222980 41062
-137240 66304 -61017 -23914 -11653 -151971 -137240 66303
-130759 -32905 -43015 -49443 120247 -61000 -130757 -32904
234254 -9878 -50388 41905 157381 173792 234254 -9878
-107448 123395 26673 -59863 148368 -68982 -107449 123396
180357 212292 32040 57170 261121 97017 180357 212292
-34828 -238599 9566 -64834 -372 241127 -34828 -238598
59520 -66470 -62228 -20557 44445 77366 59520 -66469
160970 47807 62978 -18132 1405 -167914 160971 47807
49767 -140199 58459 -29623 -147555 18979 49767 -140200
-15052 220239 -54547 36326 -191653 109548 -15052 220238
-215130 18164 -58288 29959 -114499 -183034 -215133 18164
225337 149568 -63590 15851 -90625 254822 225336 149567
-227345 -33547 -31159 -57655 215956 -78578 -227346 -33547
25281 78579 -59822 -26765 -82053 -9015 25282 78581
52465 -199673 -27998 -59255 37867 202950 52466 -199677
219322 208920 42520 -49870 -31346 -301276 219322 208920
-62058 1956 31380 -57535 55418 27997 -62058 1956
197488 146707 55847 -34294 21675 -245060 197488 146707
23466 -144393 -9815 -64797 -1576 146279 23466 -144393
-155137 -180784 48407 -44179 -28952 236459 -155139 -180786
86089 194962 -24521 -60776 -152783 -148590 86090 194963
-239722 -86702 -27451 59510 -181363 -179142 -239724 -86703
-97241 40341 -18711 62808 -104711 10899 -97241 40341
-167570 -207841 26121 -60106 70846 257409 -167573 -207844
-154846 -127699 -22575 61525 -101381 -173223 -154846 -127699
8608 250279 64588 -11105 245200 -50893 8608 250277
185866 143765 63639 -15656 95202 -214830 185869 143767
-170210 172666 19624 62529 -110697 215711 -170210 172667
158411 -2202 -64986 8471 22659 156797 158410 -2202
58211 12127 -43675 48862 35319 47835 58212 12127
-33497 -119947 45912 46765 -107933 -62125 -33496 -119945
-139249 -220624 41029 -51104 -29538 259217 -139250 -220626
101567 -170407 -64808 -9740 153419 125765 101567 -170406
-48153 -227522 -23445 -61199 126361 195239 -48154 -227523
-153216 -60789 -46501 46181 -64833 -151550 -153218 -60790
138502 59517 9168 -64892 -128815 -78308 138504 59518
-124730 42485 -64684 -10535 -21882 -129938 -124731 42485
-249945 -47933 58617 -29308 68904 244993 -249942 -47933
97222 -24980 57438 -31556 -68706 -73181 97221 -24979
-71496 -245434 47081 45589 -226055 -119369 -71497 -245435
-161888 -154377 -55821 34337 46673 -218774 -161889 -154379
-26636 -256962 55622 -34657 -204004 158494 -26636 -256959
166411 257284 38898 52744 286637 108294 166412 257286
239111 36598 -37407 -53812 -217225 106430 239113 36599
-175620 97476 -24148 60925 -199181 25907 -175621 97476
60717 -148466 -46853 -45823 63688 147216 60717 -148466
-245495 -62694 65332 5172 -81873 239783 -245498 -62695
-18408 -68196 3793 -65426 14430 69147 -18408 -68196
110548 6097 -41498 50724 81702 74719 110549 6097
70252 -10275 51557 -40458 -51453 -48924 70252 -10275
119346 -106866 -8147 65028 131706 -91201 119348 -106867
191532 -204617 -14776 63849 232735 -156166 191534 -204619
-252299 116279 45099 -47551 263079 89252 -252302 116281
165367 78226 -61172 -23516 -132355 126286 165369 78227
113796 196994 -62045 21106 -149852 171177 113799 196998
129536 -88908 -21129 62036 151282 -42397 129534 -88907
-95974 -253417 4345 65392 -112565 -246497 -95975 -253418
-227167 236166 -38635 -52937 44270 -324684 -227168 236167
212420 150975 1131 -65526 -209782 -154618 212418 150974
186953 174106 -28451 -59038 -244001 -75682 186952 174106
218476 35177 38999 -52669 -154649 -158281 218475 35177
3651 126988 -65483 2638 -126738 8760 3651 126988
-68475 198329 60045 26259 154275 142204 -68474 198327
-205119 224581 52080 39783 53954 299333 -205121 224583
-34415 -184226 -24358 60841 36522 -183819 -34415 -184224
-256126 -215397 -56835 -32630 314323 -114876 -256124 -215395
225586 47137 24428 60813 226899 -40345 225585 47137
-59881 -259548 -1458 -65520 65641 258152 -59882 -259549
-126115 -138965 -65482 2663 133726 -131658 -126116 -138966
-148226 -51390 -47895 44733 -63618 -143404 -148226 -51390
-121471 92253 58572 -29398 136939 67181 -121470 92252
-85665 93683 -16460 -63435 59389 -112195 -85664 93682
160272 -194618 -33217 56494 236802 -86533 160271 -194617
238055 47380 31490 -57475 -186008 -155937 238056 47380
-173168 19852 59319 -27861 91587 148301 -173169 19852
182951 13794 57916 30672 97814 -155223 182954 13794
53940 -135766 57892 30716 -94649 -111281 53940 -135765
44134 -144250 -42882 49559 127761 -80205 44134 -144249
200160 184055 -18904 -62750 -244742 -118494 200158 184053
196598 -234559 -58253 -30026 118419 282216 196599 -234559
123342 -52868 8720 -64953 -129279 35986 123341 -52867
41261 -36267 -17431 63175 49421 -23986 41261 -36267
-211641 -71406 -60055 -26236 150160 -165355 -211639 -71405
92260 -47948 65525 1206 -46242 -93127 92260 -47948
-210748 206401 52937 38635 42480 291911 -210749 206402
90993 123994 -39100 52594 -953 153796 90993 123993
-202050 137797 21794 61806 -144726 197146 -202050 137797
237957 -62513 65417 -3943 -76716 -233764 237955 -62512
175393 -93581 63916 14482 -52510 -191737 175394 -93582
-93492 55934 22433 -61577 106990 -20553 -93491 55934
41720 253763 47998 44622 214260 142226 41720 253761
-126401 -140836 53290 38146 -188093 20807 -126401 -140835
-217124 -20701 -54140 -36931 139456 -167703 -217128 -20702
-51160 -208143 33843 56121 -151296 -151822 -51159 -208141
-79516 177665 56985 -32368 193756 -18607 -79516 177665
143496 -172264 -31556 -57438 -42819 220072 143494 -172261
10925 68448 33735 56186 44600 53059 10925 68447
-165477 -215451 -32826 56722 -35306 -269360 -165476 -215449
98054 38869 -48660 -43899 -94541 46768 98053 38869
-194886 -79393 61288 -23210 -5227 210371 -194884 -79392
-186287 13483 15314 -63722 184281 30420 -186289 13484
2509 127604 19744 -62491 36051 -122431 2509 127604
-179797 -79119 56225 -33671 24498 194902 -179798 -79119
-83049 -210723 -63894 -14580 223920 -34088 -83050 -210726
96406 -115069 -8322 -65006 -81014 126380 96407 -115070
115408 61806 -63792 15020 -33711 126502 115409 61807
244442 -125096 62801 18735 -49996 -270002 244442 -125096
172737 -116461 -61253 23304 170274 120036 172739 -116462
81084 219092 -40300 51681 -70784 222635 81085 219095
2106 -224228 -27975 -59265 93811 203671 2106 -224227
100953 -118794 -61864 -21628 78822 134501 100952 -118793
-80046 211256 2437 -65491 87847 -208134 -80047 211258
-193451 36841 17067 63275 -177183 85949 -193453 36841
-109125 190547 -16606 63397 -153846 156677 -109125 190546
-93772 -152987 62330 -20247 -116533 136449 -93772 -152987
39646 -183189 62851 -18567 -186916 13878 39646 -183190
-182645 190247 -64424 12020 -220518 -144653 -182644 190245
131632 120061 -41498 50724 25858 176276 131633 120062
-14253 -217434 -6974 -65164 37310 214683 -14253 -217435
-157598 -149700 -18374 62908 -109308 -187882 -157600 -149702
48919 179156 48811 -43731 100792 -155982 48918 179154
255859 145326 -17334 63202 208309 207824 255859 145326
76521 -2062 17164 63248 73309 -22031 76520 -2062
-137654 192008 65500 2186 187311 143983 -137656 192011
184558 -123417 50914 41264 20324 -221089 184558 -123417
-112646 -68099 63410 16557 -94349 91787 -112646 -68099
-223580 -219029 42271 50081 -312129 -23167 -223578 -219028
252411 214631 32499 56910 325623 61211 252409 214629
180777 -93165 -64387 12218 125234 160239 180777 -93165
175645 -60953 -45462 -47204 -84230 165747 175647 -60954
-44268 -135151 10138 64747 -64642 -126676 -44268 -135151
142091 81145 -64488 -11674 -105158 125364 142091 81145
207916 14064 54989 -35654 -101313 -182106 207917 14064
32931 238842 -44824 -47809 -187382 -151714 32930 238838
-248264 32999 63101 17697 -35267 247951 -248262 32999
156689 69327 14874 -63826 -136866 -103080 156690 69327
224441 172987 -2914 -65471 -231910 -162836 224440 172986
121027 -224677 55649 34615 -126857 -221439 121028 -224679
