# i_alpha_raw i_beta_raw theta_u16 sin_raw cos_raw id_raw iq_raw
0 0 0 0 65536 0 0
32768 0 0 0 65536 32768 0
0 32768 16384 65536 0 32768 0
16777215 16777215 8192 46341 46341 16777215 0
-16777216 -16777216 8192 46341 46341 -16777216 0
-13759169 10790996 59994 -33217 56494 -16777216 2328311
-5391689 -12873141 23923 49162 -43337 -6091457 12557213
2830375 7589562 37515 -28790 -58873 -5876711 -5574551
-2841972 -6306274 65500 -226 65536 -2820225 -6316075
-16391326 13892701 48547 -65425 -3818 -12914244 -16777216
9806283 7029543 53817 -59093 28338 -2098180 11881803
6857874 -1811547 52695 -61798 21818 3991319 5863626
-12993705 -13256873 12785 61671 22173 -16777216 7742159
8540837 3231650 46019 -62596 -19409 -5616111 7200609
-16445291 2654174 60095 -32674 56810 -15578910 -5898282
15425556 10971698 58950 -38696 52892 5971187 16777215
12383109 -1184560 819 5122 65336 12252739 -2148753
1756665 9615989 14653 64635 10833 9774161 -143006
-2568815 -5146538 59964 -33368 56405 409480 -5737407
2683412 14448229 13886 63663 15558 14672335 823234
12618894 -7172136 48170 -65245 -6173 5951684 13238424
1586309 12719926 58759 -39663 52171 -6435411 11085953
-2160741 5216187 15948 65479 2739 5121345 2376866
-12861005 16207321 6276 37097 54026 -1428004 16777215
2287339 8041111 55198 -54838 35886 -5475998 6317084
-5094174 -6079105 60979 -27747 59372 -2041235 -7664134
13547286 -5015351 58336 -41731 50532 13639329 4759309
582588 14578728 15525 65313 5397 14577098 619977
866156 11864948 12999 62109 20915 11520931 2965688
-12299837 15103993 36787 -24614 -60738 5726590 -16777216
-15473438 1213797 37934 -31137 -57667 13038830 -8419685
-14671378 -4569398 61608 -24101 60943 -11962749 -9644588
1607974 -1464426 24900 44879 -47758 -2174615 -33969
-10805024 3881300 61900 -22386 61594 -11480887 -42976
2413263 147665 56823 -48610 43955 1509048 1889028
3135604 16558918 50711 -64808 9740 -15908960 5561769
-16713211 -1452846 15502 65301 5548 -2862506 16530289
4120402 -4732504 24555 46447 -46234 -6260884 418431
2295149 401309 23858 49427 -43034 -1204436 -1994511
-10751750 -771244 59282 -36993 54097 -8439740 -6705650
-11035656 6496494 50983 -64532 11427 -8321170 -9733849
3313939 15593385 5268 31710 57353 10445108 12042883
5983892 -4749798 53598 -59677 27085 6798209 3485908
-13073217 -10454632 13871 63639 15656 -13275095 10197277
7916478 -7263686 30807 12267 -64378 -9136210 5653536
-6287991 -14613938 65369 -1056 65527 -6051649 -14713251
-11679014 -13783181 61450 -25033 60567 -5528694 -16777216
825350 9793906 14773 64755 10088 9804238 692068
-9942014 -6928782 39591 -39863 -52019 12105952 -547641
-5135835 -10866087 49805 -65408 4094 10524031 -5804603
-7321864 -11721032 45782 -62141 -20820 13439909 -3218934
514172 10184452 54921 -55768 34422 -8396419 5786797
5385312 14147832 31782 6199 -65242 -4022920 -14593756
11209035 7585207 59998 -33195 56507 5822723 12217731
6268674 9608293 4109 25149 60518 9475808 6467038
