# theta_u16 sin_raw cos_raw
0 0 65536
1 0 65536
2 0 65536
3 0 65536
4 25 65536
5 25 65536
6 25 65536
7 25 65536
8 50 65536
9 50 65536
10 50 65536
11 50 65536
12 75 65536
13 75 65536
14 75 65536
15 75 65536
16 101 65536
17 101 65536
18 101 65536
19 101 65536
20 126 65536
21 126 65536
22 126 65536
23 126 65536
24 151 65536
25 151 65536
26 151 65536
27 151 65536
28 176 65536
29 176 65536
30 176 65536
31 176 65536
32 201 65536
33 201 65536
34 201 65536
35 201 65536
36 226 65536
37 226 65536
38 226 65536
39 226 65536
40 251 65536
41 251 65536
42 251 65536
43 251 65536
44 276 65535
45 276 65535
46 276 65535
47 276 65535
48 302 65535
49 302 65535
50 302 65535
51 302 65535
52 327 65535
53 327 65535
54 327 65535
55 327 65535
56 352 65535
57 352 65535
58 352 65535
59 352 65535
60 377 65535
61 377 65535
62 377 65535
63 377 65535
64 402 65535
65 402 65535
66 402 65535
67 402 65535
68 427 65535
69 427 65535
70 427 65535
71 427 65535
72 452 65534
73 452 65534
74 452 65534
75 452 65534
76 478 65534
77 478 65534
78 478 65534
79 478 65534
80 503 65534
81 503 65534
82 503 65534
83 503 65534
84 528 65534
85 528 65534
86 528 65534
87 528 65534
88 553 65534
89 553 65534
90 553 65534
91 553 65534
92 578 65533
93 578 65533
94 578 65533
95 578 65533
96 603 65533
97 603 65533
98 603 65533
99 603 65533
100 628 65533
101 628 65533
102 628 65533
103 628 65533
104 653 65533
105 653 65533
106 653 65533
107 653 65533
108 679 65532
109 679 65532
110 679 65532
111 679 65532
112 704 65532
113 704 65532
114 704 65532
115 704 65532
116 729 65532
117 729 65532
118 729 65532
119 729 65532
120 754 65532
121 754 65532
122 754 65532
123 754 65532
124 779 65531
125 779 65531
126 779 65531
127 779 65531
128 804 65531
129 804 65531
130 804 65531
131 804 65531
132 829 65531
133 829 65531
134 829 65531
135 829 65531
136 854 65530
137 854 65530
138 854 65530
139 854 65530
140 880 65530
141 880 65530
142 880 65530
143 880 65530
144 905 65530
145 905 65530
146 905 65530
147 905 65530
148 930 65529
149 930 65529
150 930 65529
151 930 65529
152 955 65529
153 955 65529
154 955 65529
155 955 65529
156 980 65529
157 980 65529
158 980 65529
159 980 65529
160 1005 65528
161 1005 65528
162 1005 65528
163 1005 65528
164 1030 65528
165 1030 65528
166 1030 65528
167 1030 65528
168 1056 65527
169 1056 65527
170 1056 65527
171 1056 65527
172 1081 65527
173 1081 65527
174 1081 65527
175 1081 65527
176 1106 65527
177 1106 65527
178 1106 65527
179 1106 65527
180 1131 65526
181 1131 65526
182 1131 65526
183 1131 65526
184 1156 65526
185 1156 65526
186 1156 65526
187 1156 65526
188 1181 65525
189 1181 65525
190 1181 65525
191 1181 65525
192 1206 65525
193 1206 65525
194 1206 65525
195 1206 65525
196 1231 65524
197 1231 65524
198 1231 65524
199 1231 65524
200 1257 65524
201 1257 65524
202 1257 65524
203 1257 65524
204 1282 65523
205 1282 65523
206 1282 65523
207 1282 65523
208 1307 65523
209 1307 65523
210 1307 65523
211 1307 65523
212 1332 65522
213 1332 65522
214 1332 65522
215 1332 65522
216 1357 65522
217 1357 65522
218 1357 65522
219 1357 65522
220 1382 65521
221 1382 65521
222 1382 65521
223 1382 65521
224 1407 65521
225 1407 65521
226 1407 65521
227 1407 65521
228 1432 65520
229 1432 65520
230 1432 65520
231 1432 65520
232 1458 65520
233 1458 65520
234 1458 65520
235 1458 65520
236 1483 65519
237 1483 65519
238 1483 65519
239 1483 65519
240 1508 65519
241 1508 65519
242 1508 65519
243 1508 65519
244 1533 65518
245 1533 65518
246 1533 65518
247 1533 65518
248 1558 65517
249 1558 65517
250 1558 65517
251 1558 65517
252 1583 65517
253 1583 65517
254 1583 65517
255 1583 65517
256 1608 65516
257 1608 65516
258 1608 65516
259 1608 65516
260 1633 65516
261 1633 65516
262 1633 65516
263 1633 65516
264 1659 65515
265 1659 65515
266 1659 65515
267 1659 65515
268 1684 65514
269 1684 65514
270 1684 65514
271 1684 65514
272 1709 65514
273 1709 65514
274 1709 65514
275 1709 65514
276 1734 65513
277 1734 65513
278 1734 65513
279 1734 65513
280 1759 65512
281 1759 65512
282 1759 65512
283 1759 65512
284 1784 65512
285 1784 65512
286 1784 65512
287 1784 65512
288 1809 65511
289 1809 65511
290 1809 65511
291 1809 65511
292 1834 65510
293 1834 65510
294 1834 65510
295 1834 65510
296 1860 65510
297 1860 65510
298 1860 65510
299 1860 65510
300 1885 65509
301 1885 65509
302 1885 65509
303 1885 65509
304 1910 65508
305 1910 65508
306 1910 65508
307 1910 65508
308 1935 65507
309 1935 65507
310 1935 65507
311 1935 65507
312 1960 65507
313 1960 65507
314 1960 65507
315 1960 65507
316 1985 65506
317 1985 65506
318 1985 65506
319 1985 65506
320 2010 65505
321 2010 65505
322 2010 65505
323 2010 65505
324 2035 65504
325 2035 65504
326 2035 65504
327 2035 65504
328 2061 65504
329 2061 65504
330 2061 65504
331 2061 65504
332 2086 65503
333 2086 65503
334 2086 65503
335 2086 65503
336 2111 65502
337 2111 65502
338 2111 65502
339 2111 65502
340 2136 65501
341 2136 65501
342 2136 65501
343 2136 65501
344 2161 65500
345 2161 65500
346 2161 65500
347 2161 65500
348 2186 65500
349 2186 65500
350 2186 65500
351 2186 65500
352 2211 65499
353 2211 65499
354 2211 65499
355 2211 65499
356 2236 65498
357 2236 65498
358 2236 65498
359 2236 65498
360 2261 65497
361 2261 65497
362 2261 65497
363 2261 65497
364 2287 65496
365 2287 65496
366 2287 65496
367 2287 65496
368 2312 65495
369 2312 65495
370 2312 65495
371 2312 65495
372 2337 65494
373 2337 65494
374 2337 65494
375 2337 65494
376 2362 65493
377 2362 65493
378 2362 65493
379 2362 65493
380 2387 65493
381 2387 65493
382 2387 65493
383 2387 65493
384 2412 65492
385 2412 65492
386 2412 65492
387 2412 65492
388 2437 65491
389 2437 65491
390 2437 65491
391 2437 65491
392 2462 65490
393 2462 65490
394 2462 65490
395 2462 65490
396 2488 65489
397 2488 65489
398 2488 65489
399 2488 65489
400 2513 65488
401 2513 65488
402 2513 65488
403 2513 65488
404 2538 65487
405 2538 65487
406 2538 65487
407 2538 65487
408 2563 65486
409 2563 65486
410 2563 65486
411 2563 65486
412 2588 65485
413 2588 65485
414 2588 65485
415 2588 65485
416 2613 65484
417 2613 65484
418 2613 65484
419 2613 65484
420 2638 65483
421 2638 65483
422 2638 65483
423 2638 65483
424 2663 65482
425 2663 65482
426 2663 65482
427 2663 65482
428 2688 65481
429 2688 65481
430 2688 65481
431 2688 65481
432 2714 65480
433 2714 65480
434 2714 65480
435 2714 65480
436 2739 65479
437 2739 65479
438 2739 65479
439 2739 65479
440 2764 65478
441 2764 65478
442 2764 65478
443 2764 65478
444 2789 65477
445 2789 65477
446 2789 65477
447 2789 65477
