# id numerator denominator quotient remainder div_by_zero
00000000 000000000000000000 00000000000 000000000000000000 00000000000 1
00000001 000000000000000000 00000000001 000000000000000000 00000000000 0
00000002 000000000000000001 00000000000 000000000000000000 00000000000 1
00000003 000000000000000001 00000000001 000000000000000001 00000000000 0
00000004 000000000000000005 00000000009 000000000000000000 00000000005 0
00000005 000000000000000063 00000000009 00000000000000000b 00000000000 0
00000006 000000000000000064 00000000009 00000000000000000b 00000000001 0
00000007 ffffffffffffffffff 00000000001 ffffffffffffffffff 00000000000 0
00000008 ffffffffffffffffff 1ffffffffff 000000000080000000 0007fffffff 0
00000009 ffffffffffffffffff 00000000000 000000000000000000 00000000000 1
0000000a 45f98620e2857e4c64 1a8e1d4f695 00000000002a2941af 1892270e789 0
0000000b 0164891a023b76fde7 1e15057d455 000000000000bda21b 18f6b14cef0 0
0000000c 2d04232a8f2031a50b 11ff6c83bac 00000000002804f562 0b137bf3133 0
0000000d 2e6cfc3188641e545b 19e78c52ff9 00000000001caccdfa 05514d71631 0
0000000e 8595418b9df42c5e10 1a54d3a0467 0000000000512ba431 15dacf28a59 0
0000000f 54b57ff5e27b1b8520 1eed4dc333c 00000000002bd2f24e 0a85c5d30d8 0
00000010 a2e651e95d6fdcfa9a 1b6374858ae 00000000005f29f28f 0d364c0f568 0
00000011 3c0e68ec73da10785f 089c68e3735 00000000006f97186b 06dfc2f6d38 0
00000012 66e835a8cc8879a618 11df7bdd1a0 00000000005c1f7db9 0daee920978 0
00000013 73ea5cf837fbfab9e3 0644f47b305 000000000127d3d662 02862c303f9 0
00000014 030a1865018acfb1bd 15b813323f4 0000000000023d3531 146c0704c09 0
00000015 e7027d781bbb1bfed1 1c602d6bd49 00000000008241ffd3 06e5c0944a6 0
00000016 13328129c6a59b6032 0324c3fe675 000000000061b5425e 025e701973c 0
00000017 d02c1adf6f8fff508e 0533473dc66 0000000002807e10a0 0220f9b30ce 0
00000018 cf43e48a5f9be3b516 114c4f9e2b3 0000000000bfb626e8 0854985b0de 0
00000019 c44219e04baaad802f 03a08d3457d 000000000361ba828f 019998e355c 0
0000001a ffb72b9127a5de38b9 0babf19f1b3 00000000015e8bafed 019086f1902 0
0000001b 98e22575e7ca97d7ec 1497f8a32ee 000000000076c7f3a9 06b1f024ece 0
0000001c 5b16fb141dfda94fd1 0be4afbca89 00000000007a8ae597 08c0f1e4c02 0
0000001d b32f1f7e6245752c24 0f323527b86 0000000000bca9b5bb 0a433693342 0
0000001e fec77156accbcee831 1c86443af94 00000000008ee93f1f 1bd19b33945 0
0000001f 682774b790b1408c33 0f61bb8bb94 00000000006c57209f 05432c58b47 0
00000020 3e77dbe3516238848c 010a2e9da36 0000000003c1421f30 0098d07106c 0
00000021 5199a5cbc6a2cbc71d 12f07c72698 000000000044ef91d7 0b1e5c64575 0
00000022 7a822bcbbbdf36e7a7 0dd26478ba5 00000000008dd07790 07fbdfea7d7 0
00000023 db9b3bac5fb5d11480 064c9c2f25f 00000000022dcbd19a 0174a56b85a 0
00000024 dcd741d60de6d23b39 082cfe26605 0000000001b02fda72 00d5e358aff 0
00000025 07a3db7e08b3aafa8f 00e022ce8db 00000000008b9e8de7 00b60ba3df2 0
00000026 cf19448c9c23cb711c 08db5a351f9 0000000001762058f5 061253065cf 0
00000027 de68e63d8c93202e29 02221e70a60 0000000006841e06b4 0149b2ea2a9 0
00000028 8286b17df800a94713 1ac40daccc5 00000000004e068912 1a187137439 0
00000029 5927b1f2ec89721376 10c0b1aac09 0000000000552635e8 0a16d524e4e 0
0000002a a0bdbb8d5609e73f40 10865c56e97 00000000009ba2c61c 0cecc385cbc 0
0000002b 8f9fc83c25a0e9981b 083a73fe4c8 00000000011746fc87 047025312a3 0
