# profile sequence_id transaction_id reset_before id_meas iq_meas id_ref iq_ref we vdc pi_reset uq_zero_en old_xd old_xq old_du_d old_du_q old_sat ud_raw uq_raw error_code ud_hi uq_hi du_d_next du_q_next ud_lim uq_lim scale limited sat_flag next_xd next_xq next_du_d next_du_q next_sat
0 0002 00000000 1 0000000 0000000 00f0000 1f60000 00000000 0180000 0 0 0000000000 0000000000 0000000000 0000000000 0 00416ffff4 ffd4600008 0 0014c0aaf2 fff22a38b4 002caf5502 ffe235c754 00a6055 1f9151c 0512fd8b9 1 1 0008e3332c fffa133338 002caf5502 ffe235c754 1
0 0002 00000001 0 0000000 0000000 0000000 0000000 00000000 0000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1 0000000000 0000000000 1 0000000000 0000000000 002caf5502 ffe235c754 0000000 0000000 000000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1
0 0002 00000002 0 0ffffff 1000000 1000000 0ffffff 7fffffff 0180000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1 0000000000 0000000000 2 0000000000 0000000000 002caf5502 ffe235c754 0000000 0000000 000000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1
0 0002 00000003 0 0000000 0000000 0000000 0000000 00000000 1ffffff 1 0 0008e3332c fffa133338 002caf5502 ffe235c754 1 0000000000 0000000000 1 0000000000 0000000000 002caf5502 ffe235c754 0000000 0000000 000000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1
0 0002 00000004 0 0ffffff 1000000 1000000 0ffffff 7fffffff 0180000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1 0000000000 0000000000 2 0000000000 0000000000 002caf5502 ffe235c754 0000000 0000000 000000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1
0 0002 00000005 0 0000000 0000000 0000000 0000000 00000000 0000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1 0000000000 0000000000 1 0000000000 0000000000 002caf5502 ffe235c754 0000000 0000000 000000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1
0 0002 00000006 0 0ffffff 1000000 1000000 0ffffff 7fffffff 0180000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1 0000000000 0000000000 2 0000000000 0000000000 002caf5502 ffe235c754 0000000 0000000 000000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1
0 0002 00000007 0 0000000 0000000 0000000 0000000 00000000 1ffffff 1 0 0008e3332c fffa133338 002caf5502 ffe235c754 1 0000000000 0000000000 1 0000000000 0000000000 002caf5502 ffe235c754 0000000 0000000 000000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1
0 0002 00000008 0 0ffffff 1000000 1000000 0ffffff 7fffffff 0180000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1 0000000000 0000000000 2 0000000000 0000000000 002caf5502 ffe235c754 0000000 0000000 000000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1
0 0002 00000009 0 0000000 0000000 0000000 0000000 00000000 0000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1 0000000000 0000000000 1 0000000000 0000000000 002caf5502 ffe235c754 0000000 0000000 000000000 0 0 0008e3332c fffa133338 002caf5502 ffe235c754 1
