# profile id id_meas iq_meas id_ref iq_ref we vdc pi_reset uq_zero_en old_xd old_xq old_du_d old_du_q old_sat error_code ud_raw uq_raw xd_next xq_next
0 00000000 0000000 0000000 0008000 0000000 00000000 0180000 0 0 0000000000 0000000000 0000000000 0000000000 0 0 0008b9999a 0000000000 00012f5c29 0000000000
0 00000001 0000000 0000000 0000001 0000000 00000000 0180000 0 0 0000000000 0000000000 0000000000 0000000000 0 0 0000001173 0000000000 000000025f 0000000000
0 00000002 0000000 0000000 0008000 0000000 00000000 0180000 0 0 7fffffffff 0000000000 0000000000 0000000000 0 2 0000000000 0000000000 7fffffffff 0000000000
0 00000003 0000000 0000000 0008000 0000000 00000000 0180000 1 0 7fffffffff 0000000000 0000000000 0000000000 0 0 0000000000 0000000000 0000000000 0000000000
0 00000004 0000000 0008000 0000000 0000000 00010000 0180000 0 1 000000007b 00000001c8 0000000315 fffffffc25 1 0 ffffff8e1f 0000000000 ffffffffdd 0000000000
0 00000005 0000000 0000000 0000000 0000000 00000000 0180000 1 0 8000000000 7fffffffff 7fffffffff 8000000000 1 0 0000000000 0000000000 0000000000 0000000000
0 00000006 0ffffff 0000000 0ffffff 0000000 80000000 0180000 0 0 0000000000 4000000000 0000000000 0000000000 0 0 0000000000 bb977ab85c 0000000000 4000000000
0 00000007 1000000 0ffffff 0ffffff 1000000 00000000 0180000 0 0 0000000000 0000000000 0000000000 0000000000 0 0 22e666568d dd1999a973 04bd70a1a1 fb428f5e5f
0 00000008 0ffffff 0ffffff 0000000 0000000 80000000 0000000 1 0 7fffffffff 0000000000 0000000000 0000000000 0 1 0000000000 0000000000 7fffffffff 0000000000
0 00000009 15ee742 0899b44 1a66302 1cbd20e 4c42debf 0dbfae1 0 0 2d1d18255f a924df6e48 744e76c386 f061019a2a 0 2 0000000000 0000000000 2d1d18255f a924df6e48
0 0000000a 1f80fff 1833f70 12561dc 0376b2e a229ef20 10842d5 1 0 43ec0b50d1 cca94c6a53 a88de67bcd 40e339865e 0 1 0000000000 0000000000 43ec0b50d1 cca94c6a53
0 0000000b 007237a 0d7ac22 1a88a4c 1873173 13541f56 06568ae 0 0 78be7e5750 67ab9877af 456a54cf40 f892102c70 1 0 63bf5164d8 53f0fe72f0 69fc3ab7a8 660a86f24c
0 0000000c 1618bae 114a409 1c17acb 1624c3e 414ff759 07dc06e 0 0 29dc9fdd0a 6bdeb25b1e af32b762a0 4313e22eda 1 0 660c833b7a 56411797e6 3ae90b6bfe 5f2c5e0fff
0 0000000d 0c75d65 03c9a81 15c523f 1a6ab78 cb4639ea 1f76caa 1 0 a6b71e5258 0467fb225c cb190188bf 5466647066 1 1 0000000000 0000000000 a6b71e5258 0467fb225c
0 0000000e 1c60523 05bc8ba 0f7e01a 154a481 ee072dea 102a571 1 0 89c1114940 1d27a09c62 a0121b981a c170b3fe34 1 1 0000000000 0000000000 89c1114940 1d27a09c62
0 0000000f 125b316 10989b8 1519479 19f4d1b 8bca5f07 1dad4ca 1 1 a64d647929 c655ecaa8c 9f4683e687 9c3919050c 1 1 0000000000 0000000000 a64d647929 c655ecaa8c
0 00000010 1b02c07 087d5b7 0e632d3 0eda4a3 a719db41 1e1581d 0 0 4abbdca21b 41d496527d 98b7b35781 97118b640e 0 1 0000000000 0000000000 4abbdca21b 41d496527d
0 00000011 044cd48 1884050 0d073d1 1539fab 9d444580 00b62aa 1 1 43583a91d3 41ab355fa1 2132059fbb 95696b3002 0 0 0000000000 0000000000 0000000000 0000000000
0 00000012 10edd47 0218828 11ba261 1fe973a d93a1021 0f549a4 0 0 970824cfb5 4ba2f6968a bbb8dee1c3 259db9a3ae 1 0 9c7092c750 646afc767d a4ce3bf3ce 43ca3534c7
0 00000013 10a9325 12d98d0 10c24fb 02ddef6 552d52cb 0ea58f6 0 0 e95721b04a 9c6ccf8823 cc4ddc5e6a ec8921a8f3 1 2 0000000000 0000000000 e95721b04a 9c6ccf8823
0 00000014 0a972ab 1e3665c 058f90b 15cc8c6 80153cbe 0dcb970 0 0 16e2284738 0641de6a39 32aba4380f 9d0d5d4448 0 0 04a143a347 9f65faaa0a 0c011a6c32 18ccf4ecea
0 00000015 18e83fa 1e84f85 03d6b32 04634e3 0a415122 108c863 0 1 4669b13151 7d1f2a782e 49a3684a09 7226b43309 1 1 0000000000 0000000000 4669b13151 7d1f2a782e
0 00000016 07a9189 00829b8 14fe4bd 1f2d033 e9b74a18 0ecacb9 1 1 d7fb90ae61 db5b518ed6 3e49361b15 7ad1369179 1 0 0000000000 0000000000 0000000000 0000000000
