# id ud_raw uq_raw vdc error_code ud_hi uq_hi du_d_next du_q_next ud_lim uq_lim scale limited sat_flag
00000000 0000000000 0000000000 0000001 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000001 0000000001 0000000000 0000001 0 0000000001 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000002 ffffffffff 0000000000 0000001 0 ffffffffff 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000003 0000000000 0000000001 0000001 0 0000000000 0000000001 0000000000 0000000000 0000000 0000000 100000000 0 0
00000004 0000000000 ffffffffff 0000001 0 0000000000 ffffffffff 0000000000 0000000000 0000000 0000000 100000000 0 0
00000005 0001000000 0001000000 0000001 0 00000000bc 00000000bc 0000ffff44 0000ffff44 0000000 0000000 00000bc17 1 1
00000006 ffff000000 0001000000 0000001 0 ffffffff44 00000000bc ffff0000bc 0000ffff44 0000000 0000000 00000bc17 1 1
00000007 0001000000 ffff000000 0000001 0 00000000bc ffffffff44 0000ffff44 ffff0000bc 0000000 0000000 00000bc17 1 1
00000008 ffff000000 ffff000000 0000001 0 ffffffff44 ffffffff44 ffff0000bc ffff0000bc 0000000 0000000 00000bc17 1 1
00000009 8000000000 8000000000 0000001 0 ffffffff80 ffffffff80 8000000080 8000000080 0000000 0000000 000000001 1 1
0000000a 7fffffffff 7fffffffff 0000001 0 0000000080 0000000080 7fffffff7f 7fffffff7f 0000000 0000000 000000001 1 1
0000000b 8000000000 7fffffffff 0000001 0 ffffffff80 0000000080 8000000080 7fffffff7f 0000000 0000000 000000001 1 1
0000000c 7fffffffff 8000000000 0000001 0 0000000080 ffffffff80 7fffffff7f 8000000080 0000000 0000000 000000001 1 1
0000000d 8000000000 0000000000 0000001 0 ffffffff00 0000000000 8000000100 0000000000 1ffffff 0000000 000000002 1 1
0000000e 0000000000 7fffffffff 0000001 0 0000000000 0000000100 0000000000 7ffffffeff 0000000 0000001 000000002 1 1
0000000f 0000000000 0000000000 0180000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000010 0000000001 0000000000 0180000 0 0000000001 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000011 ffffffffff 0000000000 0180000 0 ffffffffff 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
