# id x shift expected
00000000 ffffffffffffffffff850000 10 ffffffffffffffffffffff85
00000001 000000000000000000008000 10 000000000000000000000001
00000002 ffffffffffffffffffff8000 10 ffffffffffffffffffffffff
00000003 800000000000000000000000 10 ffff80000000000000000000
00000004 000000000000000000000000 00 000000000000000000000000
00000005 fffffffffffffffffffffff9 00 fffffffffffffffffffffff9
00000006 000000000000000000000000 01 000000000000000000000000
00000007 ffffffffffffffffffffffff 01 ffffffffffffffffffffffff
00000008 fffffffffffffffffffffffe 01 ffffffffffffffffffffffff
00000009 fffffffffffffffffffffffe 01 ffffffffffffffffffffffff
0000000a 000000000000000000000000 01 000000000000000000000000
0000000b 000000000000000000000001 01 000000000000000000000001
0000000c 000000000000000000000002 01 000000000000000000000001
0000000d 000000000000000000000002 01 000000000000000000000001
0000000e ffffffffffffffffffffff01 09 000000000000000000000000
0000000f ffffffffffffffffffffff00 09 ffffffffffffffffffffffff
00000010 fffffffffffffffffffffeff 09 ffffffffffffffffffffffff
00000011 fffffffffffffffffffffe00 09 ffffffffffffffffffffffff
00000012 0000000000000000000000ff 09 000000000000000000000000
00000013 000000000000000000000100 09 000000000000000000000001
00000014 000000000000000000000101 09 000000000000000000000001
00000015 000000000000000000000200 09 000000000000000000000001
00000016 ffffffffffffffffffffc001 0f 000000000000000000000000
00000017 ffffffffffffffffffffc000 0f ffffffffffffffffffffffff
00000018 ffffffffffffffffffffbfff 0f ffffffffffffffffffffffff
00000019 ffffffffffffffffffff8000 0f ffffffffffffffffffffffff
0000001a 000000000000000000003fff 0f 000000000000000000000000
0000001b 000000000000000000004000 0f 000000000000000000000001
0000001c 000000000000000000004001 0f 000000000000000000000001
0000001d 000000000000000000008000 0f 000000000000000000000001
0000001e ffffffffffffffffffff8001 10 000000000000000000000000
0000001f ffffffffffffffffffff8000 10 ffffffffffffffffffffffff
00000020 ffffffffffffffffffff7fff 10 ffffffffffffffffffffffff
00000021 ffffffffffffffffffff0000 10 ffffffffffffffffffffffff
00000022 000000000000000000007fff 10 000000000000000000000000
00000023 000000000000000000008000 10 000000000000000000000001
00000024 000000000000000000008001 10 000000000000000000000001
00000025 000000000000000000010000 10 000000000000000000000001
00000026 ffffffffffffffffff800001 18 000000000000000000000000
00000027 ffffffffffffffffff800000 18 ffffffffffffffffffffffff
00000028 ffffffffffffffffff7fffff 18 ffffffffffffffffffffffff
00000029 ffffffffffffffffff000000 18 ffffffffffffffffffffffff
0000002a 0000000000000000007fffff 18 000000000000000000000000
0000002b 000000000000000000800000 18 000000000000000000000001
0000002c 000000000000000000800001 18 000000000000000000000001
0000002d 000000000000000001000000 18 000000000000000000000001
0000002e ffffffffffffffffe0000001 1e 000000000000000000000000
0000002f ffffffffffffffffe0000000 1e ffffffffffffffffffffffff
00000030 ffffffffffffffffdfffffff 1e ffffffffffffffffffffffff
00000031 ffffffffffffffffc0000000 1e ffffffffffffffffffffffff
00000032 00000000000000001fffffff 1e 000000000000000000000000
00000033 000000000000000020000000 1e 000000000000000000000001
00000034 000000000000000020000001 1e 000000000000000000000001
00000035 000000000000000040000000 1e 000000000000000000000001
00000036 ffffffffffffffff80000001 20 000000000000000000000000
00000037 ffffffffffffffff80000000 20 ffffffffffffffffffffffff
00000038 ffffffffffffffff7fffffff 20 ffffffffffffffffffffffff
00000039 ffffffffffffffff00000000 20 ffffffffffffffffffffffff
0000003a 00000000000000007fffffff 20 000000000000000000000000
0000003b 000000000000000080000000 20 000000000000000000000001
0000003c 000000000000000080000001 20 000000000000000000000001
0000003d 000000000000000100000000 20 000000000000000000000001
0000003e fffffffffffffff000000001 25 000000000000000000000000
0000003f fffffffffffffff000000000 25 ffffffffffffffffffffffff
00000040 ffffffffffffffefffffffff 25 ffffffffffffffffffffffff
00000041 ffffffffffffffe000000000 25 ffffffffffffffffffffffff
00000042 000000000000000fffffffff 25 000000000000000000000000
00000043 000000000000001000000000 25 000000000000000000000001
00000044 000000000000001000000001 25 000000000000000000000001
00000045 000000000000002000000000 25 000000000000000000000001
00000046 c00000000000000000000001 5f 000000000000000000000000
00000047 c00000000000000000000000 5f ffffffffffffffffffffffff
00000048 bfffffffffffffffffffffff 5f ffffffffffffffffffffffff
00000049 800000000000000000000000 5f ffffffffffffffffffffffff
0000004a 3fffffffffffffffffffffff 5f 000000000000000000000000
0000004b 400000000000000000000000 5f 000000000000000000000001
0000004c 400000000000000000000001 5f 000000000000000000000001
0000004d 4e7b7eeac15cb0b8463a729d 39 00000000000000273dbf7561
0000004e 0d161df445a61325cf927b23 11 0000068b0efa22d30992e7c9
0000004f 36ce8c020b89bd6ab723e8b8 3d 0000000000000001b6746010
00000050 0ddf968d3e4272d0dbc2fd01 34 00000000000000ddf968d3e4
00000051 112203a300ff199201ba2fdf 41 0000000000000000089101d2
