# profile sequence_id transaction_id reset_before id_meas iq_meas id_ref iq_ref we vdc pi_reset uq_zero_en old_xd old_xq old_du_d old_du_q old_sat ud_raw uq_raw error_code ud_hi uq_hi du_d_next du_q_next ud_lim uq_lim scale limited sat_flag next_xd next_xq next_du_d next_du_q next_sat
0 0001 00000000 1 001a4fe 1fe7314 0280000 1e20000 004d8776 0000001 0 0 0000000000 0000000000 0000000000 0000000000 0 00a7bed1a3 ff8f43f984 0 00000000dc ffffffff6c 00a7bed0c7 ff8f43fa18 0000000 0000000 000000150 1 1 0016b9c308 ffef24c6c3 00a7bed0c7 ff8f43fa18 1
0 0001 00000001 0 0019be8 001c8c4 0280000 1e20000 00355208 0000001 0 0 0016b9c308 ffef24c6c3 00a7bed0c7 ff8f43fa18 1 00bddfd257 ff6c4d712d 0 00000000d2 ffffffff5d 00bddfd185 ff6c4d71d0 0000000 0000000 00000011b 1 1 000bec5832 fff2dbbf4e 00bddfd185 ff6c4d71d0 1
0 0001 00000002 0 1ff0966 000f726 0280000 1e20000 ffb7315c 0000001 0 0 000bec5832 fff2dbbf4e 00bddfd185 ff6c4d71d0 1 00bedef169 ff61c02ccd 0 00000000cc ffffffff57 00bedef09d ff61c02d76 0000000 0000000 000000112 1 1 fffe3817b0 fffe0d05cf 00bedef09d ff61c02d76 1
0 0001 00000003 0 0016fad 1ff3140 0280000 1e20000 005d08bb 0000001 0 0 fffe3817b0 fffe0d05cf 00bedef09d ff61c02d76 1 00a6b73c64 ff8c488259 0 00000000da ffffffff69 00a6b73b8a ff8c4882f0 0000000 0000000 00000014f 1 1 ffeee4db61 000c677c7d 00a6b73b8a ff8c4882f0 1
0 0001 00000004 0 1feb598 001c5ca 0280000 1e20000 fff7d687 0000001 0 0 ffeee4db61 000c677c7d 00a6b73b8a ff8c4882f0 1 00a3132e19 ff80aea0c3 0 00000000d2 ffffffff5c 00a3132d47 ff80aea167 0000000 0000000 000000149 1 1 ffe603f9f2 0010b8e9f2 00a3132d47 ff80aea167 1
0 0001 00000005 0 1fdec6f 1fefff1 0280000 1e20000 ffe1f0c1 0000001 0 0 ffe603f9f2 0010b8e9f2 00a3132d47 ff80aea167 1 009d78125d ff8e30b4a2 0 00000000d7 ffffffff64 009d781186 ff8e30b53e 0000000 0000000 00000015e 1 1 ffde54b1bb 001900e6fd 009d781186 ff8e30b53e 1
0 0001 00000006 0 1fe2d05 0011a7b 0280000 1e20000 ffb21fe8 0000001 0 0 ffde54b1bb 001900e6fd 009d781186 ff8e30b53e 1 009516ab84 ff86d482bc 0 00000000ce ffffffff58 009516aab6 ff86d48364 0000000 0000000 000000162 1 1 ffd79e2aab 001d5630df 009516aab6 ff86d48364 1
0 0001 00000007 0 1fe7e8b 0006742 0280000 1e20000 005397e6 0000001 0 0 ffd79e2aab 001d5630df 009516aab6 ff86d48364 1 008c919913 ffa40ca946 0 00000000de ffffffff6f 008c919835 ffa40ca9d7 0000000 0000000 000000195 1 1 ffd2646ab0 00238e8203 008c919835 ffa40ca9d7 1
0 0001 00000008 0 1fe7c02 1fe51d3 0280000 1e20000 00081ea9 0000001 0 0 ffd2646ab0 00238e8203 008c919835 ffa40ca9d7 1 00878d38f4 ffa91d3f08 0 00000000df ffffffff71 00878d3815 ffa91d3f97 0000000 0000000 0000001a6 1 1 ffcee06222 00252adab0 00878d3815 ffa91d3f97 1
0 0001 00000009 0 0010085 1fead86 0280000 1e20000 ffd23923 0000001 0 0 ffcee06222 00252adab0 00878d3815 ffa91d3f97 1 0078cb3db5 ffa1721df8 0 00000000d1 ffffffff5c 0078cb3ce4 ffa1721e9c 0000000 0000000 0000001bb 1 1 ffcadf5a12 00258d8d47 0078cb3ce4 ffa1721e9c 1
0 0001 0000000a 0 001b2bf 000eddd 0280000 1e20000 ffa57a38 0000001 0 0 ffcadf5a12 00258d8d47 0078cb3ce4 ffa1721e9c 1 007241eb0e ff9153061f 0 00000000bf ffffffff47 007241ea4f ff915306d8 0000000 0000000 0000001ac 1 1 ffc968513a 00262364d6 007241ea4f ff915306d8 1
0 0001 0000000b 0 1ff9fc5 1ff1c52 0280000 1e20000 004604f9 0000001 0 0 ffc968513a 00262364d6 007241ea4f ff915306d8 1 0079c3c282 ffb0ec8d6a 0 00000000df ffffffff6f 0079c3c1a3 ffb0ec8dfb 0000000 0000000 0000001d5 1 1 ffca7a8d04 002b067d17 0079c3c1a3 ffb0ec8dfb 1
0 0001 0000000c 0 0013a82 1fda6e4 0280000 1e20000 ffcaa7a3 0000001 0 0 ffca7a8d04 002b067d17 0079c3c1a3 ffb0ec8dfb 1 00732e9948 ffaaa4ba60 0 00000000d5 ffffffff62 00732e9873 ffaaa4bafe 0000000 0000000 0000001da 1 1 ffc9190dc4 002a74ef5b 00732e9873 ffaaa4bafe 1
