# id radicand root remainder
00000000 00000000000000000000 0000000000 00000000000
00000001 00000000000000000001 0000000001 00000000000
00000002 00000000000000000002 0000000001 00000000001
00000003 00000000000000000003 0000000001 00000000002
00000004 00000000000000000004 0000000002 00000000000
00000005 ffffffffffffffffffff ffffffffff 1fffffffffe
00000006 00000000000000000000 0000000000 00000000000
00000007 00000000000000000001 0000000001 00000000000
00000008 00000000000000000002 0000000001 00000000001
00000009 00000000000000000003 0000000001 00000000002
0000000a 00000000000000000004 0000000002 00000000000
0000000b 00000000000000000005 0000000002 00000000001
0000000c 00000000000000000008 0000000002 00000000004
0000000d 00000000000000000009 0000000003 00000000000
0000000e 0000000000000000000a 0000000003 00000000001
0000000f 0000000000ffffe00000 00000ffffe 000001ffffc
00000010 0000000000ffffe00001 00000fffff 00000000000
00000011 0000000000ffffe00002 00000fffff 00000000001
00000012 0000000000ffffffffff 00000fffff 000001ffffe
00000013 00000000010000000000 0000100000 00000000000
00000014 00000000010000000001 0000100000 00000000001
00000015 3fffffffff0000000000 7ffffffffe 0fffffffffc
00000016 3fffffffff0000000001 7fffffffff 00000000000
00000017 3fffffffff0000000002 7fffffffff 00000000001
00000018 3fffffffffffffffffff 7fffffffff 0fffffffffe
00000019 40000000000000000000 8000000000 00000000000
0000001a 40000000000000000001 8000000000 00000000001
0000001b fffffffffe0000000000 fffffffffe 1fffffffffc
0000001c fffffffffe0000000001 ffffffffff 00000000000
0000001d fffffffffe0000000002 ffffffffff 00000000001
0000001e 907756a6f041f8c3df50 c04f7ea505 04207786d37
0000001f 17220344be93f9b912da 4cf461a5d2 08c952cb296
00000020 10798360ab73a1613f55 40f1400e02 00cdb9d0751
00000021 7de29c0cc784ce519739 b38488e457 12dae3681a8
00000022 5ffb7b006eaec0c0e7e8 9cc0bfe5c3 0899990755f
00000023 d6b261e78b8bcb866028 ea70c96a7e 18d255dca24
00000024 a6543e1b065d8a6ba141 ce598ce978 157ea3ff901
00000025 74d0511de4bfb82c5f7e acedbbcae6 03fcf5898da
00000026 3fc03f3fc629c8161943 7fc02f5769 01d11af9032
00000027 cfd9abd6108c015cbbda e6ac16590e 1c5c3f9ff16
00000028 7a6456ece7b2d1481335 b1026a3c13 066b77329cc
00000029 b4dae133ef7580a4c815 d72bf77534 18aa8a43585
0000002a 1ee86d2f198bbd1467f9 58f3aa8e59 07d69b98d08
0000002b c00ce3af2281a0c31652 ddbb48359c 07985c91f42
0000002c 6361a6158cf11ee8a18e 9f811f5c85 0a58b42c475
0000002d 50bdff98a85429046acc 8fc5490117 02323e53abb
0000002e 09e32b64c4279034b135 324f8bf885 049a884bc1c
0000002f 0db423ec6caf95e14898 3b3ac431c2 05b73257194
00000030 a14d8bb57274d4928b46 cb354845a3 0b617f1457d
00000031 115ba1d1b87d08a86936 42a91b5e34 05f5f062ea6
00000032 b9b7e43b831962445129 da0bad9f32 08289b12b65
00000033 820ecac66024ea6168f6 b677f68c1f 05a801b7d35
00000034 8aea467f57660d2d569e bc9462604d 12725ff7f75
00000035 168ddc90490079fea077 4bfc65eaa1 02a87e9e736
00000036 b3de1f18e9ccc93de3a0 d69566d293 19d30e46337
00000037 40db9e974d3b22886486 80dae36f29 0dafb8dcff5
00000038 e0d0bab5af76bcd0b20e efe6c8a760 03049624e0e
00000039 df4533f08349a49d7a6f ef1362cbe3 10b366faf26
0000003a 5ee3b3fbcdcfab31591f 9bdba32218 0762c16f6df
0000003b 801589472863a6d1b461 b5142d09f6 10cb5f27bfd
0000003c 509ae206811b5b310f7f 8fa6021fff 0b623354f7e
0000003d cda357d46e725692dfb7 e570fdbdb8 1c0cc49ab77
0000003e df3d10fde7f139d6c47d ef0f078e78 0f60ffd6c3d
0000003f deda335480c7be5b920a eeda120dd9 0703717d019
00000040 a710accc5d9d943adf79 cece4ea025 0300d809a20
00000041 c05ce6e3f4ec096b61e6 dde973d63c 0f0a43b03d6
00000042 25c234f3cc728231daca 62511e5d7a 0494377fca6
00000043 27a8862f546e1abf7905 64c27dfb11 0a131eb21e4
00000044 7a718752beefffeb8373 b10bf38956 08898fa5a8f
00000045 9f3fa108927657324956 c9e8f2aa90 12a6d4eb856
00000046 789d3e5be78e2ae13c03 afb81eac77 1443acd1cb2
00000047 0adb576e8ce76ce954ad 34b82e92a1 03ef7114b6c
00000048 c4da0fc73f45f0975059 e07c78b80b 0ce39f77fe0
00000049 f2d550b82159f8862b5c f9546952ae 146db163d18
0000004a 9180d21e6b66ff320f08 c0ffe1922c 1711263d778
0000004b 4f3b33a2ec10f5ac6a72 8e6b4a84ff 04ea3287471
0000004c cc23219ab44156bd4f39 e49a417daa 17fc0b9da55
0000004d 34573bb76c544efe8cf8 73c14b6dc0 01f51717cf8
0000004e 1c9954ad0ff50718c850 5590951c92 00281f4850c
0000004f 493888d8a37b21b78810 88e92262d9 05db7e8ac1f
00000050 a43e7c6bd47fb58653a9 cd0d69f871 06c7db931c8
00000051 689d09a334588a5957a6 a3a62d5cee 0b614f16a62
00000052 8a2a9f4a3a54961b77e9 bc121f52ee 145ed9a22a5
00000053 682bb297ed37498b3dfc a34d6edbea 0eecb890c18
00000054 db6e6f5ad95c9f700833 ed02ef6e4d 1224823c50a
00000055 df0920bc657b882e254d eef336ae01 19bc37cc94c
00000056 e5318fd3b5b5b6496a3d f239ec4845 0fda8aa87a4
00000057 30c09add361cfb53097b 6fb774ec36 02cdc6f6e17
00000058 e8290a695b4c08db8099 f3c9f715d1 1c8bbb18bf8
00000059 2b647595226f6b73cab9 69658c8e89 0691c3f8568
0000005a a254c9b00a3829e6d37f cbdad58439 08bcac1fece
0000005b 5e27245b6996d1687b1a 9b407a50f3 06a1033b471
0000005c 4de25b76a61a56090a0c 8d34081195 092b383e953
0000005d 6d2ca087d88b8d7d6756 a72dad835c 0ba67be1e46
0000005e 78b3091b6dfcfe2c1187 afc7fdb621 046315f2146
0000005f 0aba3def39903b6e3fc3 346793c270 0513b204ec3
00000060 34c718f748818a21a883 743cbc3356 025c986479f
00000061 ee573fa7875e689e47b4 f7033cf311 05b2bdd0093
00000062 ae494d27c4837d52d582 d33a6363d7 045b218d6f1
00000063 4fa1b7109840db3b034d 8ec74f39fc 0063c90d33d
00000064 1db06a0f28841219ba5c 572e2bbe64 0a69ee9234c
00000065 b77e90dbfa85bb5f20fb d8bc7567e5 1a541e30e22
00000066 3f4f4e036b38e5e2873a 7f4ed364b4 0b40d8d68aa
00000067 c7b78d214c7bdc30b77b e21d30987f 0798bb9a87a
00000068 6ee6c465aecb23faad82 a87edfa21e 079c50cb1fe
00000069 5b28d45a44ddec209c44 98c3935145 0585f15dfab
0000006a f21ced3ec86039c02fd8 f8f5ae2d62 120ec7c9654
0000006b 72dec389b754042a7b07 ab7be7b90e 10d13213e43
0000006c 3e68246ab62426df69a2 7e6592677a 0abb1e4037e
0000006d b86aac51fc29c8d726d9 d947b95973 163975ffd30
0000006e 70a7beb18e7ef12825fb a9d29b976b 03cb006bf42
0000006f 5ea810cef1d8d9b33287 9baaa11942 1006a313d83
00000070 d51c5eaec9124f185215 e992b36dab 0f2b6fb41dc
00000071 43c162cd94d878a47a34 83b3ae9862 05fecb7f4b0
00000072 a424a82cf5e00d5338f8 ccfd49c50f 1366d152217
00000073 c2c8d4502e712b74829d df4de962b3 072ad90f974
