# id tag_id v_alpha v_beta cmp0 cmp1 cmp2 b0 b1 b2 sector X Y Z a_num b_num
00000001 0001 0000000 0000000 0000000 000000000 000000000 0 1 0 2 0000000000 0000000000 0000000000 0000000000 0000000000
00000002 0002 0000000 0008000 0008000 fff830000 fff830000 1 0 0 1 0021d48000 0010ea0000 0010ea0000 0010ea0000 0010ea0000
00000003 0003 0008000 1ff8000 1ff8000 001558000 fffa48000 0 1 0 2 ffde2b8000 000c620000 ffd1ca0000 000c620000 0021d48000
00000004 0004 0008000 0008000 0008000 0005b8000 ffeaa8000 1 1 0 3 0021d48000 002e360000 fff39e0000 000c620000 0021d48000
00000005 0005 1ff8000 1ff8000 1ff8000 fffa48000 001558000 0 0 1 4 ffde2b8000 ffd1ca0000 000c620000 0021d48000 000c620000
00000006 0006 1ff8000 0008000 0008000 ffeaa8000 0005b8000 1 0 1 5 0021d48000 fff39e0000 002e360000 0021d48000 000c620000
00000007 0007 0000000 1ff8000 1ff8000 0007d0000 0007d0000 0 1 1 6 ffde2b8000 ffef160000 ffef160000 0010ea0000 0010ea0000
00000008 0008 0006147 000a87c 000a87c fffffffff ffeb6edd1 1 0 0 1 002c87addc 002c875ad8 ffffffaa88 ffffffaa88 002c875ad8
00000009 0009 00061a8 000a924 000a924 000000000 ffeb5a5b0 1 1 0 3 002cb414c4 002cb3c190 ffffffaa10 00000055f0 002cb414c4
0000000a 000a 0006209 000a9cc 000a9cc 000000001 ffeb45d8f 1 1 0 3 002ce07bac 002ce02848 ffffffa998 0000005668 002ce07bac
0000000b 000b 0000929 0000fdb 0000fdb 00000027b fffe105c9 1 1 0 3 000430c893 00043116b4 ffffffa204 0000005dfc 000430c893
0000000c 000c 0000002 0000000 0000000 000000362 ffffffc9e 0 1 0 2 0000000000 0000007530 ffffff8ad0 0000007530 0000000000
0000000d 000d 0000220 00003ad 00003ad 00000012e ffff8d0ee 1 1 0 3 0000f8b435 0000f8db44 ffffffd544 0000002abc 0000f8b435
0000000e 000e 0140000 0000000 0000000 021d40000 fde2c0000 0 1 0 2 0000000000 0493e00000 fb6c200000 0493e00000 0000000000
