# id tag_id v_alpha v_beta vdc sector overmodulated error_code a_num b_num sum_num base denominator t1 t2 L M H duty_u duty_v duty_w
00000001 0001 0000000 0000000 0180000 2 0 0 0000000000 0000000000 00000000000 03a9800000 003a9800000 000000000 000000000 080000000 080000000 080000000 0800000 0800000 0800000
00000002 0002 0000000 0008000 0180000 1 0 0 0010ea0000 0010ea0000 00021d40000 03a9800000 003a9800000 0049e60f0 0049e60f0 07b619f10 080000000 0849e60f0 0800000 07b619f 0849e61
00000003 0003 0008000 1ff8000 0180000 2 0 0 000c620000 0021d48000 0002e368000 03a9800000 003a9800000 003619f10 0093ce4d4 079b0be0e 07d125d1e 0864f41f2 079b0be 0864f42 07d125d
00000004 0004 0008000 0008000 0180000 3 0 0 000c620000 0021d48000 0002e368000 03a9800000 003a9800000 003619f10 0093ce4d4 079b0be0e 07d125d1e 0864f41f2 079b0be 07d125d 0864f42
00000005 0005 1ff8000 1ff8000 0180000 4 0 0 0021d48000 000c620000 0002e368000 03a9800000 003a9800000 0093ce4d4 003619f10 079b0be0e 082eda2e2 0864f41f2 0864f42 082eda3 079b0be
00000006 0006 1ff8000 0008000 0180000 5 0 0 0021d48000 000c620000 0002e368000 03a9800000 003a9800000 0093ce4d4 003619f10 079b0be0e 082eda2e2 0864f41f2 0864f42 079b0be 082eda3
00000007 0007 0000000 1ff8000 0180000 6 0 0 0010ea0000 0010ea0000 00021d40000 03a9800000 003a9800000 0049e60f0 0049e60f0 07b619f10 080000000 0849e60f0 0800000 0849e61 07b619f
00000008 0008 0006147 000a87c 0180000 1 0 0 ffffffaa88 002c875ad8 0002c870560 03a9800000 003a9800000 3ffffe8a9 00c28c8a9 079eba757 079eb9000 0861458a9 079eb90 079eba7 0861459
00000009 0009 00061a8 000a924 0180000 3 0 0 00000055f0 002cb414c4 0002cb46ab4 03a9800000 003a9800000 000001777 00c34ff41 079e574a4 079e58c1b 0861a8b5c 079e575 079e58c 0861a8b
0000000a 000a 0006209 000a9cc 0180000 3 0 0 0000005668 002ce07bac 0002ce0d214 03a9800000 003a9800000 000001798 00c411f2d 079df649e 079df7c36 086209b63 079df65 079df7c 086209b
0000000b 000b 0000929 0000fdb 0001b79 3 0 0 0000005dfc 000430c893 0000431268f 0004312690 00004312690 000166b83 0ffe99440 00000001f 000166ba2 0ffffffe2 0000000 000166c 1000000
0000000c 000c 0000002 0000000 0000003 2 0 0 0000007530 0000000000 00000007530 0000007530 00000007530 100000000 000000000 000000000 100000000 100000000 0000000 1000000 1000000
